trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99}",20,0,-51.68056216226713,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801}",20,2,-39.37311728065923,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.970299}",25,0,-171.67925671022638,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.96059601}",35,0,-191.01961044011938,"{0: 23, 1: 3, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9509900498999999}",25,0,-189.930643022165,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.941480149401}",30,0,-161.86228061657968,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9320653479069899}",25,0,-115.91820190643581,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9227446944279201}",20,0,-26.588648623471215,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9135172474836408}",25,0,-59.132555088341356,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9043820750088044}",20,0,-88.66684451620277,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8953382542587164}",20,0,-61.83538309588978,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8863848717161292}",20,0,-81.21072968934574,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8775210229989678}",30,0,-110.39269779680937,"{0: 17, 1: 0, 2: 13, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8687458127689782}",20,6,-61.85071784567139,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.8600583546412884}",25,16,-31.84162342260766,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.8514577710948755}",35,0,-43.70284992043592,"{0: 25, 1: 6, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8429431933839268}",25,0,-74.65877665244008,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.8345137614500875}",20,15,-33.836743097457266,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.8261686238355866}",20,0,-91.40627770782827,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8179069375972308}",20,0,-72.52104950674389,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8097278682212584}",30,6,-102.5547136998332,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
22,False,"{'a': 0.01, 'e': 0.8016305895390459}",30,0,-261.9474745539776,"{0: 17, 1: 1, 2: 5, 3: 3, 4: 4}",0
23,False,"{'a': 0.01, 'e': 0.7936142836436554}",30,0,-115.51298330395214,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.7856781408072188}",20,0,-82.27526038746302,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7778213593991467}",25,0,-36.484096898782326,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7700431458051551}",35,13,-65.40534285436692,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 2}",1
27,False,"{'a': 0.01, 'e': 0.7623427143471035}",20,10,1.9973886571747737,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.7547192872036325}",25,0,-185.1105421823922,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.7471720943315961}",25,2,-20.634565417591396,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.7397003733882802}",30,5,-70.74034376784364,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.7323033696543975}",25,0,-26.448895718801843,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7249803359578535}",25,0,-170.75363865884702,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
33,False,"{'a': 0.01, 'e': 0.7177305325982749}",35,23,-3.28289931702444,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.7105532272722921}",30,0,-20.33643367340547,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7034476949995692}",30,11,-44.887424406036004,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.6964132180495735}",30,0,-113.01093035981043,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.6894490858690778}",30,10,-28.113016688403107,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.682554595010387}",25,0,21.221199038484702,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6757290490602831}",30,1,-115.74116398794929,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 2}",1
40,False,"{'a': 0.01, 'e': 0.6689717585696803}",20,14,-0.5310743390980242,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6622820409839835}",25,0,-201.51466407178515,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
42,False,"{'a': 0.01, 'e': 0.6556592205741436}",30,0,-51.79912655885387,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6491026283684022}",20,0,8.635406863083471,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6426116020847181}",35,5,-33.179372182516104,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",1
