trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-152.72931940018069,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.998001}",25,0,-77.71956300687665,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,0,-99.01143248827569,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",35,0,-132.68846777141744,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",25,0,-49.94626527986783,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",30,0,-129.6413159552404,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-222.50256815377261,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,7,-24.99048232051331,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.991035916125874}",30,0,-162.16238245590023,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",25,0,-123.97757136957613,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",30,0,-93.09438019820314,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",30,0,-146.1490584624944,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",35,0,-257.473921484865,"{0: 15, 1: 5, 2: 10, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",20,0,-146.8091372611498,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",20,0,-80.28762632401404,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",20,0,-132.2490257392979,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-132.33497166884231,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",20,0,-45.10733437328217,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",25,0,-192.49594107617935,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",25,0,-130.61800311571466,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,0,-52.461209112369744,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9782294672887404}",20,0,-103.5731181281857,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",35,0,-227.74809987799324,"{0: 21, 1: 2, 2: 8, 3: 0, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836302}",20,0,-127.19201681620095,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9752977125970466}",35,0,-179.94388800404633,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9743224148844496}",30,0,-138.028199649648,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9733480924695651}",20,0,-149.4383957330685,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9723747443770956}",20,0,-33.080646347021826,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9714023696327184}",20,0,-61.13218440949918,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9704309672630858}",25,8,-17.51555235755541,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9694605362958226}",30,0,-165.38197844098192,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9684910757595269}",25,0,-156.40291636944625,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9675225846837673}",20,0,-160.41349190096963,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9665550620990835}",30,0,-170.89286294525425,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9655885070369844}",20,3,-85.41736181730835,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.9646229185299474}",20,0,-98.14013136272425,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9636582956114175}",25,0,-175.3121390938175,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9626946373158061}",25,0,-86.63259730727822,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9617319426784903}",20,0,-142.81931370259,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9607702107358118}",20,0,-120.08072086955008,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.959809440525076}",30,0,-183.2963935749791,"{0: 15, 1: 2, 2: 9, 3: 3, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",20,0,-101.37906750653997,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534663}",20,0,-108.54738354671909,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720128}",25,0,-104.29046713984731,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9559759577813408}",20,0,-261.73372887075703,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 5}",0
46,False,"{'a': 0.5, 'e': 0.9550199818235595}",30,0,-84.84925587257338,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.954064961841736}",20,0,-83.27417666622522,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9531108968798943}",20,0,-33.68915504596766,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9521577859830144}",20,0,-91.26467436849352,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970314}",20,0,-105.11329509591486,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688343}",20,0,-107.00739537648866,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9493041681462654}",30,1,-26.40255686945809,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.9483548639781192}",20,0,-26.696575522178872,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.947406509114141}",20,0,-99.80973216430203,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9464591026050269}",20,0,-60.78707509018591,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",35,0,-152.226179461852,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589194}",25,6,-31.26341414911409,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.9436225637280605}",25,0,-77.57951378086418,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9426789411643325}",20,0,-154.8269998427121,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231682}",25,4,-150.89893278241325,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.9407945259609449}",20,0,-109.71456949638703,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349841}",25,0,-103.94774407538806,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9389138777035491}",20,0,-47.09986918808897,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258456}",30,0,-99.6762931746509,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9370369888620197}",20,0,-134.38291491683023,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9360999518731576}",20,0,-24.051384832578098,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9351638519212845}",30,0,-163.94763177666226,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9342286880693632}",25,0,-102.67282882375665,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9332944593812939}",35,0,-198.52671003727443,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",1
70,False,"{'a': 0.5, 'e': 0.9323611649219126}",30,0,-174.77092084372794,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569907}",30,0,-108.31907461063679,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532336}",20,0,5.612326174464512,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782804}",20,2,-75.96917756816192,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
