trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-32.47550245499062,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-220.88564511956588,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-112.2828247562159,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-143.89674236506454,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-45.12288616147694,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-27.36927088365496,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-291.624904707847,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-101.12197566415624,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-77.89270492041005,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-105.70130438228034,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-236.610689219943,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-163.2501726129944,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,8,-56.743316127109864,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-87.12311612442772,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,0,-242.30761803867657,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-152.2502272732846,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-78.72484234229141,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-203.84765182272986,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-102.32354259410832,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-96.99142592266156,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-81.30734669751536,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
